-1,0,1,6,11,16,21,26,31,36,41,46,51,56,61,66,71,76,81,86,91,96,101,111,121,131,141,151,161,171,181,191,201,211,221,231,241,251,261,271,281,291,301,321,341,361,381,401,421,441,461,481,501,531,561,591,621,651,681,711,741,771,801
0.03125,0.35,0.25,0.24,0.23,0.22,0.21,0.2,0.19,0.18,0.17,0.16,0.15,0.14,0.13,0.12,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
0.0625,0.5,0.33,0.32,0.31,0.3,0.29,0.28,0.27,0.26,0.25,0.24,0.23,0.22,0.21,0.2,0.19,0.18,0.17,0.16,0.15,0.14,0.13,0.12,0.11,0.1,0.09,0.08,0.07,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
0.09375,1,0.5,0.49,0.48,0.47,0.46,0.45,0.44,0.43,0.42,0.41,0.4,0.39,0.38,0.37,0.36,0.35,0.34,0.33,0.32,0.31,0.3,0.29,0.26,0.26,0.26,0.25,0.24,0.23,0.22,0.21,0.2,0.19,0.18,0.17,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15
0.125,1,0.75,0.74,0.72,0.71,0.69,0.68,0.5,0.4,0.35,0.32,0.32,0.32,0.31,0.31,0.31,0.31,0.3,0.29,0.25,0.24,0.23,0.23,0.23,0.23,0.22,0.21,0.2,0.19,0.18,0.17,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15
0.15625,1,0.8,0.79,0.77,0.76,0.68,0.68,0.5,0.4,0.35,0.32,0.32,0.32,0.31,0.31,0.31,0.31,0.3,0.29,0.25,0.24,0.23,0.23,0.23,0.23,0.22,0.21,0.2,0.19,0.18,0.17,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15
0.1875,1,0.83,0.81,0.79,0.78,0.76,0.68,0.73,0.4,0.35,0.35,0.35,0.32,0.32,0.31,0.31,0.31,0.31,0.3,0.29,0.25,0.24,0.23,0.23,0.23,0.23,0.22,0.21,0.2,0.19,0.18,0.17,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.12,0.12,0.12,0.12
0.21875,1,0.85,0.83,0.82,0.8,0.78,0.68,0.75,0.5,0.4,0.35,0.35,0.35,0.32,0.31,0.3,0.29,0.26,0.26,0.26,0.25,0.24,0.23,0.23,0.23,0.23,0.22,0.21,0.2,0.19,0.18,0.17,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.12,0.12,0.12,0.15
0.25,1,0.88,0.86,0.84,0.82,0.8,0.78,0.76,0.74,0.5,0.4,0.35,0.35,0.32,0.31,0.31,0.3,0.29,0.26,0.26,0.26,0.25,0.24,0.23,0.24,0.23,0.22,0.21,0.2,0.19,0.18,0.17,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.12,0.12,0.12,0.15
0.28125,1,0.9,0.88,0.87,0.85,0.83,0.81,0.79,0.77,0.75,0.5,0.4,0.35,0.35,0.32,0.31,0.3,0.29,0.26,0.26,0.26,0.25,0.24,0.23,0.25,0.24,0.23,0.22,0.21,0.2,0.19,0.18,0.17,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.12,0.12,0.15
0.3125,1,0.91,0.89,0.87,0.85,0.83,0.81,0.79,0.77,0.75,0.73,0.5,0.4,0.35,0.32,0.31,0.31,0.3,0.29,0.26,0.26,0.26,0.25,0.24,0.23,0.24,0.23,0.22,0.21,0.2,0.19,0.18,0.17,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.12,0.15,0.15
0.34375,1,0.92,0.9,0.88,0.86,0.83,0.81,0.79,0.77,0.74,0.72,0.7,0.5,0.4,0.35,0.32,0.31,0.31,0.3,0.29,0.26,0.26,0.26,0.25,0.24,0.23,0.24,0.23,0.22,0.21,0.2,0.19,0.18,0.17,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15
0.375,1,0.93,0.91,0.89,0.87,0.84,0.82,0.8,0.78,0.75,0.73,0.71,0.5,0.4,0.35,0.32,0.31,0.31,0.3,0.29,0.26,0.26,0.26,0.25,0.24,0.23,0.24,0.23,0.22,0.21,0.2,0.19,0.18,0.17,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.11,0.11
0.40625,1,0.94,0.92,0.89,0.87,0.84,0.82,0.79,0.77,0.74,0.72,0.69,0.5,0.5,0.4,0.35,0.32,0.32,0.32,0.32,0.32,0.32,0.26,0.26,0.26,0.25,0.24,0.23,0.22,0.21,0.2,0.19,0.18,0.17,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11
0.4375,1,0.95,0.93,0.9,0.87,0.85,0.82,0.79,0.77,0.74,0.71,0.68,0.5,0.5,0.4,0.35,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.26,0.26,0.25,0.24,0.23,0.22,0.21,0.2,0.19,0.18,0.17,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11
