Holder,type,shank,min-bore,Front-angle,Back-angle,insert,extra,
SVLP-R,facing,0.75,,40,5,VB_T-33_,35,
SVLP-L,facing,0.75,,175,140,VB_T-33_,35,
,,,,,,,,
SWLC-R,face-turn,0.75,,85,5,WC_T-33_,80,
SWLC-L,face-turn,0.75,,95,175,WC_T-33_,80,
,,,,,,,,boring 
S-MCLN-R,boring,0.75,1,85,5,CNM_-33_,80,
S-MCLN-L,boring,0.75,1,85,5,CNM_-33_,80,
S-MTFN-R,boring,0.75,1,90,150,TNM_-33_,60,
S-MTFN-L,boring,0.75,1,90,150,TNM_-33_,60,
S-MTUN-R,boring,0.75,1,93,153,TNM_-33_,60,
S-MTUN-L,boring,0.75,1,93,153,TNM_-33_,60,
S-MWLN-R,boring,0.75,1,95,15,WNM_-33_,80,
S-MWLN-L,boring,0.75,1,95,15,WNM_-33_,80,
,,,,,,,,
S-SVQB-R,boring,0.625,0.85,107.5,72.5,VB_T-22_,35,
S-SVQB-L,boring,0.625,0.85,107.5,72.5,VB_T-22_,35,
S-SVQB-R,boring,0.75,0.98,107.5,72.5,VB_T-33_,35,
S-SVQB-L,boring,0.75,0.98,107.5,72.5,VB_T-33_,35,
,,,,,,,,
S-SCFC-R,boring,0.375,0.48,90,170,CC_T-21.51,80,
S-SCFC-L,boring,0.375,0.48,90,170,CC_T-21.51,80,
S-SCFC-R,boring,0.5,0.6,90,170,CC_T-21.51,80,
S-SCFC-L,boring,0.5,0.6,90,170,CC_T-21.51,80,
S-SCFC-R,boring,0.625,0.77,90,170,CC_T-21.51,80,
S-SCFC-L,boring,0.625,0.77,90,170,CC_T-21.51,80,
S-SCFC-R,boring,0.75,0.93,90,170,CC_T-32.52,80,
S-SCFC-L,boring,0.75,0.93,90,170,CC_T-32.52,80,
,,,,,,,,
S-SCLC-R,boring,0.375,0.477,95,175,CC_T-21.51,80,
S-SCLC-L,boring,0.375,0.477,95,175,CC_T-21.51,80,
S-SCLC-R,boring,0.5,0.602,95,175,CC_T-21.51,80,
S-SCLC-L,boring,0.5,0.602,95,175,CC_T-21.51,80,
S-SCLC-R,boring,0.625,,95,175,CC_T-21.51,80,
S-SCLC-L,boring,0.625,0.954,95,175,CC_T-21.51,80,
S-SCLC-R,boring,0.75,0.954,95,175,CC_T-32.52,80,
S-SCLC-L,boring,0.75,0.954,95,175,CC_T-32.52,80,
,,,,,,,,
S-SDUC-R,boring,0.375,0.625,93,148,DC_T-21.51,55,
S-SDUC-L,boring,0.375,0.625,93,148,DC_T-21.51,55,
S-SDUC-R,boring,0.5,0.78,93,148,DC_T-21.51,55,
S-SDUC-L,boring,0.5,0.78,93,148,DC_T-21.51,55,
S-SDUC-R,boring,0.625,0.84,93,148,DC_T-21.51,55,
S-SDUC-L,boring,0.625,0.84,93,148,DC_T-21.51,55,
S-SDUC-R,boring,0.75,1.125,93,148,DC_T-32.52,55,
S-SDUC-L,boring,0.75,1.125,93,148,DC_T-32.52,55,
,,,,,,,,
S-SDQC-R,boring,0.5,0.73,107.5,162.5,DC_T-21.51,55,
S-SDQC-L,boring,0.5,0.73,107.5,162.5,DC_T-21.51,55,
S-SDQC-R,boring,0.625,0.85,107.5,162.5,DC_T-21.51,55,
S-SDQC-L,boring,0.625,0.85,107.5,162.5,DC_T-21.51,55,
S-SDQC-R,boring,0.75,0.98,107.5,162.5,DC_T-32.52,55,
S-SDQC-L,boring,0.75,0.98,107.5,162.5,DC_T-32.52,55,
,,,,,,,,
S-SDXC-R,boring,0.5,0.73,85,30,DC_T-21.51,55,
S-SDXC-L,boring,0.5,0.73,85,30,DC_T-21.51,55,
S-SDXC-R,boring,0.625,0.85,85,30,DC_T-21.51,55,
S-SDXC-L,boring,0.625,0.85,85,30,DC_T-21.51,55,
S-SDXC-R,boring,0.75,0.98,85,30,DC_T-32.52,55,
S-SDXC-L,boring,0.75,0.98,85,30,DC_T-32.52,55,
,,,,,,,,
S10R-SSKC-R,boring,0.625,0.8,75,165,SC_T-32.52,90,
S10R-SSKC-L,boring,0.625,0.8,75,165,SC_T-32.52,90,
S12S-SSKC-R,boring,0.75,0.975,75,165,SC_T-32.52,90,
S12S-SSKC-L,boring,0.75,0.975,75,165,SC_T-32.52,90,
,,,,,,,,
S06M-STFC-R,boring,0.375,0.5,90,30,TC_T-21.51,60,
S06M-STFC-L,boring,0.375,0.5,90,30,TC_T-21.51,60,
S06M-STFC-R,boring,0.5,0.625,90,30,TC_T-21.51,60,
S06M-STFC-L,boring,0.5,0.625,90,30,TC_T-21.51,60,
S06M-STFC-R,boring,0.625,0.812,90,30,TC_T-21.51,60,
S06M-STFC-L,boring,0.625,0.812,90,30,TC_T-21.51,60,
S06M-STFC-R,boring,0.75,1,90,30,TC_T-21.51,60,
S06M-STFC-L,boring,0.75,1,90,30,TC_T-21.51,60,
